Location no.,Name,,Address 1 formatted postal,Address 2 formatted physical,phone,fax,contact,email,portfolio code,enrol FTE,Description
1597,Marree Preschool,,"c/- Marree Aboriginal School, Post Office, Marree SA 5733","First Street, Marree SA 5733",(08) 8675 8358,(08) 8675 8370,Mr Stewart Rhodes,dl.1597.leaders@schools.sa.edu.au,20,,Preschools
3649,Mary Bywaters Memorial Kindergarten,,,"54 Corn Street, Reynella SA 5161",(08) 8381 2904,(08) 8322 8749,Mrs Janet Buxton,dl.3649.leaders@schools.sa.edu.au,17,,Preschools
4163,Mawson Lakes Preschool,,"PO Box 6, Pooraka SA 5095","Garden Terrace, Mawson Lakes SA 5095",(08) 8359 1343,(08) 8359 1254,Ms Sandra Cattel,dl.0987.Admin@schools.sa.edu.au,03,,Preschools
6527,McArthur Park Kindergarten,,"PO Box 687, Millicent SA 5280","McRostie Street, Millicent SA 5280",(08) 8733 2462,(08) 8733 2429,Ms Nikki Kirkland,dl.6527.leaders@schools.sa.edu.au,14,,Preschools
6525,McKay Children's Centre,,,"7 Scott Street, Penola SA 5277",(08) 8737 2535,(08) 8737 2821,Ms Jane Childs,dl.6525.leaders@schools.sa.edu.au,14,,Preschools
4632,McKellar Stewart Kindergarten,,,"17A Regent Place, Kensington SA 5068",(08) 8431 6565,(08) 8364 6873,Ms Julie May,dl.4632.leaders@schools.sa.edu.au,08,,Preschools
6636,McRitchie Crescent Children's Services Centre,,"PO Box 2220, Whyalla Norrie SA 5608","55 McRitchie Crescent, Whyalla Stuart SA 5608",(08) 8649 3535,(08) 8649 2031,Ms Elizabeth Jones,dl.6636.leaders@schools.sa.edu.au,20,,Preschools
4678,Meadows & Districts Kindergarten,,,"49 Mawson Road, Meadows SA 5201",(08) 8388 3005,(08) 8388 3819,Ms Cathy Bailey,dl.4678.leaders@schools.sa.edu.au,12,,Preschools
6534,Melaleuca Park Kindergarten,,,"Boandik Terrace, Mount Gambier SA 5290",(08) 8723 5513,(08) 8723 9815,Ms Sharon Devlin,dl.6534.leaders@schools.sa.edu.au,14,,Preschools
6553,Meningie Preschool,,,"29 Edward Street, Meningie SA 5264",(08) 8575 1290,(08) 8575 1735,Ms Ally Mead,dl.6553.leaders@schools.sa.edu.au,15,,Preschools
6526,Michelle DeGaris Memorial Kindergarten,,"PO Box 379, Naracoorte SA 5271","10 Price Ave, Naracoorte SA 5271",(08) 8762 1086,(08) 8762 0862,Ms Geraldine Mathieson,dl.6526.leaders@schools.sa.edu.au,15,,Preschools
6528,Millicent North Kindergarten,,"Box 311, Millicent SA 5280","18 Ridge Terrace, Millicent SA 5280",(08) 8733 3448,(08) 8733 4012,Ms Olivia Nelson,dl.6528.leaders@schools.sa.edu.au,14,,Preschools
6678,Miltaburra Children's Centre,,"c/- Miltaburra Area School, RSD 70 Miltaburra Road, Streaky Bay SA 5680","3493 Miltaburra Road, Wirrulla SA 5661",(08) 8626 8086,(08) 8626 8016,Mr Rob Nunan,dl.6678.leaders@schools.sa.edu.au,18,,Preschools
1856,Mimili Child Parent Centre,,"c/- Mimili Anangu School, PMB 58, via Alice Springs NT 0872",Mimili SA 0872,(08) 8956 2999,(08) 8956 7556,Mr Louka Parry,dl.1527.Admin@schools.sa.edu.au,09,,Preschools
2686,Minlaton District Early Learning Ctr,,,"1 West Terrace, Minlaton SA 5575",(08) 8853 2301,(08) 8853 2325,Ms Janet Stephenson,dl.2686.leaders@schools.sa.edu.au,02,,Preschools
6692,Minya Bunhii Child Care & Kgtn,,"PO Box 701, Ceduna SA 5690","1 Kelly Street, Ceduna SA 5690",(08) 8625 3636,(08) 8625 3730,Ms Mavis Miller,dl.6692.leaders@schools.sa.edu.au,18,,Preschools
4682,Mitcham Preschool Centre,,,"150 Belair Road, Hawthorn SA 5062",(08) 8271 2042,(08) 8272 8272,Mrs Chris Catt,dl.4682.leaders@schools.sa.edu.au,13,,Preschools
4683,Mitcham Village Kindergarten,,,"35 Albert Street, Mitcham SA 5062",(08) 8272 4050,(08) 8373 4387,Ms Janice Williams,dl.4683.leaders@schools.sa.edu.au,13,,Preschools
3654,Mitchell Park Kindergarten,,,"Lanark Avenue, Mitchell Park SA 5043",(08) 8276 8578,(08) 8276 7353,Ms Peta Paynter,dl.3654.leaders@schools.sa.edu.au,16,,Preschools
3690,Moana Kindergarten,,,"Schooner Road, Seaford SA 5169",(08) 8386 1971,(08) 8327 2852,Ms Josie Agars,dl.3690.leaders@schools.sa.edu.au,17,,Preschools
1598,Modbury Child Parent Centre,,,"2-18 Golden Grove Road, Modbury North SA 5092",(08) 8264 2027,(08) 8396 1704,Ms Belinda Smith,dl.0272.Admin@schools.sa.edu.au,04,,Preschools
4634,Modbury Kindergarten,,,"32 Jaycee Street, Modbury North SA 5092",(08) 8264 5933,(08) 8395 3594,Ms Nicole Otto,dl.4634.leaders@schools.sa.edu.au,04,,Preschools
4635,Modbury North Kindergarten,,,"12 Burragah Court, Modbury North SA 5092",(08) 8264 3025,(08) 8395 3596,Mr Andreas Fey,dl.4635.leaders@schools.sa.edu.au,04,,Preschools
1599,Modbury South Preschool,,"PO Box 42, Hope Valley SA 5090","Dampier Avenue, Hope Valley SA 5090",(08) 8264 3527,(08) 8396 1705,Ms Diana Clements,dl.1047.Admin@schools.sa.edu.au,04,,Preschools
6523,Monash Kindergarten,,"PO Box 24, Monash SA 5342","Jackson Street, Monash SA 5342",(08) 8583 6041,(08) 8583 5486,Mrs Leanne Brooke,dl.6523.leaders@schools.sa.edu.au,01,,Preschools
6625,Moonta Kindergarten,,"c/- Moonta Area School, PO Box 113, Moonta SA 5558","Blanche Terrace, Moonta SA 5558",(08) 8825 2403,(08) 8825 1894,Ms Anna Daly,dl.6625.leaders@schools.sa.edu.au,02,,Preschools
1601,Moorak Child Parent Centre,,"c/- Moorak Primary School, PO Box 961, Mount Gambier SA 5290","171 Yells Road, Moorak SA 5291",(08) 8726 6261,(08) 8726 6225,Ms Dianne Doman,dl.0279.Admin@schools.sa.edu.au,14,,Preschools
6558,Morgan Kindergarten,,"PO Box 278, Morgan SA 5320","Fourth Street, Morgan SA 5320",(08) 8540 2321,(08) 8540 2461,Ms Wendy Norman,dl.6558.leaders@schools.sa.edu.au,01,,Preschools
3605,Morphett Vale East Kindergarten,,,"1 Archer Court, Morphett Vale SA 5162",(08) 8382 8422,(08) 8326 8269,Ms Kerri Willmott,dl.3605.leaders@schools.sa.edu.au,17,,Preschools
3657,Morphett Vale Preschool Kindergarten,,,"20 Venning Street, Morphett Vale SA 5162",(08) 8382 1597,(08) 8326 8273,Ms Shelley Mair,dl.3657.leaders@schools.sa.edu.au,17,,Preschools
3687,Morphett Vale Primary School - Preschool,,,"Lawrence Street, Morphett Vale SA 5162",(08) 8382 4474,(08) 8326 8274,Mr Stan Hagias,dl.1906.Admin@schools.sa.edu.au,17,,Preschools
4637,Mount Barker Kindergarten Inc,,,"2B Dumas Street, Mount Barker SA 5251",(08) 8391 0685,(08) 8391 3082,Mr Jakub Tuma,dl.4637.leaders@schools.sa.edu.au,12,,Preschools
1602,Mount Burr Child Parent Centre,,,"Mount Burr PS, Thomas Drive, Mount Burr SA 5279",(08) 8734 8387,(08) 8734 8147,Mrs Anne-Marie Fitzgerald,dl.0288.Admin@schools.sa.edu.au,14,,Preschools
3661,Mount Compass Preschool Centre,,"PO Box 82, Mount Compass SA 5210","Oval Road, Mount Compass SA 5210",(08) 8556 8342,(08) 8556 8085,Jay Elmslie,dl.3661.leaders@schools.sa.edu.au,13,,Preschools
1698,Mount Gambier Children's Centre,,,"Mulga Street, Mount Gambier SA 5290",(08) 8723 4989,(08) 8725 9567,Mrs Pauline Bosco,dl.1650.Admin@schools.sa.edu.au,14,,Preschools
4638,Mount Pleasant & District Kindergarten,,,"11 Saleyard Road, Mount Pleasant SA 5235",(08) 8568 2079,(08) 8568 2476,Ms Narelle Palmer,dl.4638.leaders@schools.sa.edu.au,06,,Preschools
2645,Munno Para Kindergarten,,,"14 Karinga Crescent, Munno Para SA 5115",(08) 8254 6727,(08) 8284 3039,Ms Veronica Atkinson-Allen,dl.2645.leaders@schools.sa.edu.au,04,,Preschools
1878,Murputja Child Parent Centre,,"c/- Murputja Anangu School, PMB 150, via Alice Springs NT 0872",Murputja Homelands SA 0872,(08) 8956 7357,(08) 8956 7565,Mrs Elizabeth Handy,,09,,Preschools
6549,Murray Bridge Preschool Kindergarten,,"PO Box 229, Murray Bridge SA 5253","Mannum Road, Murray Bridge SA 5253",(08) 8532 2758,(08) 8532 6720,Ms Veronica Kenny,dl.6549.leaders@schools.sa.edu.au,15,,Preschools
1604,Nairne Child Parent Centre,,"c/- Nairne Primary School, PO Box 105, Nairne SA 5252","5 Saleyard Road, Nairne SA 5252",(08) 8388 6116,(08) 8388 6931,Ms Leesa Shepherd,dl.0306.Admin@schools.sa.edu.au,12,,Preschools
1605,Nangwarry Child Parent Centre,,,"Nangwarry PS, Whitford Crescent, Nangwarry SA 5277",(08) 8739 7241,(08) 8739 7292,Mr Ross Everingham,dl.0592.Admin@schools.sa.edu.au,14,,Preschools
1561,Napperby Preschool,,"c/- Napperby Primary School, PMB 13, Port Pirie SA 5540","Oaks Road, Napperby SA 5540",(08) 8634 4309,(08) 8634 4075,Mr David Manuel,dl.0308.Admin@schools.sa.edu.au,19,,Preschools
6537,Naracoorte North Kindergarten,,,"39 Park Terrace, Naracoorte SA 5271",(08) 8762 1581,(08) 8762 3392,Mrs Kerryn Pilmore,dl.6537.leaders@schools.sa.edu.au,15,,Preschools
6644,Neta Kranz Children's Centre,,,"55 Wood Terrace, Whyalla SA 5600",(08) 8645 7224,(08) 8645 2250,Ms Libby Kranz,dl.6644.leaders@schools.sa.edu.au,20,,Preschools
4684,Netherby Kindergarten,,"PO Box 6049, Linden Park SA 5065","Bruce Webb Crescent, Urrbrae SA 5064",(08) 8313 7076,(08) 8313 7077,Mrs Liz Mitchell,dl.4684.leaders@schools.sa.edu.au,13,,Preschools
5635,Netley Kindergarten,,,"Comet Avenue, Netley SA 5037",(08) 8297 4563,(08) 8371 4972,Ms Briony Brooks,dl.5635.leaders@schools.sa.edu.au,10,,Preschools
4643,Newland Park Kindergarten,,,"46 Lockwood Road, Erindale SA 5066",(08) 8431 1313,(08) 8364 6872,Ms Heather Tozer,dl.4643.leaders@schools.sa.edu.au,08,,Preschools
3607,Noarlunga Downs Preschool,,,"Noarlunga Downs PS, Canterbury Crescent, Noarlunga Downs SA 5168",(08) 8384 4395,(08) 8326 3519,Ms Gaynor Steele,dl.1068.Admin@schools.sa.edu.au,16,,Preschools
6645,Norrie Stuart Children's Services Centre,,,"4 Dowd Street, Whyalla Norrie SA 5608",(08) 8645 4552,(08) 8645 7720,Ms Mandy Klessens,dl.6645.leaders@schools.sa.edu.au,20,,Preschools
5636,North Haven Kindergarten,,"PO Box 1121, North Haven SA 5018","Sir Ewen Waterman Avenue, North Haven SA 5018",(08) 8248 4519,(08) 8341 9917,Ms Karlie Croughan,dl.5636.leaders@schools.sa.edu.au,10,,Preschools
1634,North Ingle Preschool,,"c/- North Ingle Primary School, PO Box 96, Para Hills SA 5096","7 Rothwell Avenue, Ingle Farm SA 5098",(08) 8264 7498,(08) 8396 1778,Ms Dina Zunis,dl.1183.Admin@schools.sa.edu.au,06,,Preschools
1778,Northfield Child Parent Centre,,,"Northfield PS, North Avenue, Northfield SA 5085",(08) 8262 2607,(08) 8349 7830,Mr Marcus Knill,dl.0314.Admin@schools.sa.edu.au,05,,Preschools
5308,Nuriootpa Community Children's Centre,,,"14 Park Avenue, Nuriootpa SA 5355",(08) 8562 1006,(08) 8562 3435,Ms Sally Wuttke,dl.5308.leaders@schools.sa.edu.au,11,,Preschools
1841,Oak Valley Aboriginal School CPC,,"PMB 18, Ceduna SA 5690",Oak Valley SA 5690,(08) 8670 4205,(08) 8670 4234,Ms Ineke Gilbert,dl.1009.Admin@schools.sa.edu.au,09,,Preschools
4645,Oakbank Kindergarten,,"PO Box 845, Oakbank SA 5243","Main Street, Oakbank SA 5243",(08) 8388 4141,(08) 8398 0082,Ms Sharon Miller,dl.4645.leaders@schools.sa.edu.au,12,,Preschools
3666,Oaklands Estate Kindergarten,,,"16 Pethick Terrace, Marion SA 5043",(08) 8276 7843,(08) 8276 9412,Ms Riki Duncan,dl.3666.leaders@schools.sa.edu.au,10,,Preschools
5658,Ocean View College Children's Centre,,,"23 Gedville Road, Taperoo SA 5017",(08) 8248 2593,(08) 8341 9920,Ms Sue Davies,dl.5658.leaders@schools.sa.edu.au,10,,Preschools
3664,O'Halloran Hill Kindergarten,,,"Wren Street, O'Halloran Hill SA 5158",(08) 8381 3550,(08) 8322 8751,Mrs Phyllis Mitchell,dl.3664.leaders@schools.sa.edu.au,16,,Preschools
1785,One Tree Hill Preschool,,,"One Tree Hill PS, McGilp Road, One Tree Hill SA 5114",(08) 8280 7027,(08) 8280 7520,Ms Sharyn Roberts,dl.0322.Admin@schools.sa.edu.au,06,,Preschools
1607,Oodnadatta Child Parent Centre,,"c/- Oodnadatta Aboriginal School, Oodnadatta SA 5734","Kutaya Tce, Oodnadatta SA 5734",(08) 8670 7823,(08) 8670 7808,Mr Peter Loades,dl.0324.Admin@schools.sa.edu.au,20,,Preschools
6648,Orroroo Kindergarten,,,"West Terrace, Orroroo SA 5431",(08) 8658 1008,(08) 8658 1355,Ms Rosslyn Bowman,dl.6648.leaders@schools.sa.edu.au,19,,Preschools
3665,O'Sullivan Beach Children's Centre,,,"51A Galloway Road, O'Sullivan Beach SA 5166",(08) 8382 2850,(08) 8326 8258,Ms Leanne Mattsson,dl.3665.leaders@schools.sa.edu.au,16,,Preschools
1630,Padthaway Child Parent Centre,,"c/- Padthaway Primary School, c/- Post Office, Padthaway SA 5271","Vogelsang Road, Padthaway SA 5271",(08) 8765 5028,(08) 8765 5109,Ms Cathie Biggins,dl.0593.Admin@schools.sa.edu.au,15,,Preschools
1608,Para Hills Child Parent Centre,,,"Para Hills PS, 26 Wilkinson Road, Para Hills SA 5096",(08) 8264 3242,(08) 8263 2325,Mr Peter Reid,dl.0935.Admin@schools.sa.edu.au,06,,Preschools
2651,Para Hills West Preschool,,,"69 Kesters Road, Para Hills West SA 5096",(08) 8349 5160,(08) 8359 4257,Ms Kerry Wood,dl.2651.leaders@schools.sa.edu.au,06,,Preschools
1609,Para Vista Child Parent Centre,,,"Para Vista PS, 351 Montague Road, Para Vista SA 5093",(08) 8264 9588,(08) 8396 1987,Ms Terena Pope,dl.1048.Admin@schools.sa.edu.au,06,,Preschools
4629,Paradise Kindergarten,,,"21A Lincoln Road, Paradise SA 5075",(08) 8337 6504,(08) 8365 5742,Ms Helen Einthal,dl.4629.leaders@schools.sa.edu.au,08,,Preschools
2654,Parafield Gardens Children's Centre,,,"9 Casuarina Drive, Parafield Gardens SA 5107",(08) 8258 3659,(08) 8285 5163,Mrs Faye Stasinowsky,dl.2654.leaders@schools.sa.edu.au,03,,Preschools
2655,Paralowie Kindergarten,,,"13 Yalumba Drive, Paralowie SA 5108",(08) 8250 2150,(08) 8285 5164,Ms Lisa Jackson,dl.2655.leaders@schools.sa.edu.au,05,,Preschools
5380,Parks Children's Centre,,,"Trafford Street, Angle Park SA 5010",(08) 8243 5582,(08) 8268 3365,Ms Dianne Krieg,dl.5380.leaders@schools.sa.edu.au,09,,Preschools
4686,Pasadena Kindergarten,,,"39 Cash Grove, Pasadena SA 5042",(08) 8277 4623,(08) 8277 8705,Ms Sue Klar,dl.4686.leaders@schools.sa.edu.au,13,,Preschools
5639,Penneshaw Kindergarten,,,"Howard Drive, Penneshaw SA 5222",(08) 8553 1555,(08) 8553 1555,Ms Kristie Werner,dl.1882.Admin@schools.sa.edu.au,16,,Preschools
5640,Pennington Kindergarten,,,"15A Northgate Street, Pennington SA 5013",(08) 8268 1200,(08) 8268 9588,Ms Melissa Gobell,dl.5640.leaders@schools.sa.edu.au,09,,Preschools
6681,Penong Preschool,,"c/- Penong Primary School, Eyre Highway, Penong SA 5690",Penong SA 5690,(08) 8625 1017,(08) 8625 1009,Mrs Karen Murray,dl.0338.Admin@schools.sa.edu.au,18,,Preschools
6649,Peterborough Community Preschool,,,"76-80 Victoria Street, Peterborough SA 5422",(08) 8651 2550,(08) 8651 3456,Mrs Kerry Thomas,dl.6649.leaders@schools.sa.edu.au,19,,Preschools
6539,Pinnaroo Kindergarten,,"PO Box 117, Pinnaroo SA 5304","6 Railway Terrace North, Pinnaroo SA 5304",(08) 8577 8227,(08) 8577 8651,Mrs Amanda Nickolls,dl.6539.leaders@schools.sa.edu.au,15,,Preschools
1790,Pipalyatjara Anangu Preschool,,"c/- Pipalyatjara Anangu School, PMB 75, via Alice Springs NT 0872",Pipalyatjara SA 0872,(08) 8956 7560,(08) 8956 7504,Ms Ngaire Benfell,dl.1526.Admin@schools.sa.edu.au,09,,Preschools
3695,Plympton South Kindergarten,,,"13 Yapinga Street, South Plympton SA 5038",(08) 8293 5178,(08) 8371 4973,Ms Sarah Moore,dl.3695.leaders@schools.sa.edu.au,16,,Preschools
1612,Point Pearce Child Parent Centre,,"c/- Point Pearce Aboriginal School, Box 14, Maitland SA 5573","Parrys Avenue, Point Pearce SA 5573",(08) 8836 7210,(08) 8836 7234,Mr Ron Watson,dl.1612.leaders@schools.sa.edu.au,02,,Preschools
6686,Poonindie Early Childhood Centre,,"PMB 94, Port Lincoln SA 5607","Hirschausen Road, Poonindie SA 5607",(08) 8684 6074,(08) 8684 6057,Ms Cherie Duncan,dl.6686.leaders@schools.sa.edu.au,18,,Preschools
2656,Pooraka Community Kindergarten,,,"14 McCarthy Court, Pooraka SA 5095",(08) 8260 1741,(08) 8359 4258,Ms Allyson Goodale,dl.2656.leaders@schools.sa.edu.au,06,,Preschools
5422,Port Augusta Children's Centre,,,"Carlton School, Rupert Street, Port Augusta SA 5700",(08) 8642 6504,(08) 8641 0534,Ms Catherine Cameron,,20,,Preschools
6651,Port Augusta West Childhood Services Centre,,"PO Box 3107, Port Augusta West SA 5700","1A Stokes Terrace, Port Augusta West SA 5700",(08) 8642 4125,(08) 8642 6218,Mrs Lyn Hamilton,dl.6651.leaders@schools.sa.edu.au,20,,Preschools
6653,Port Broughton Kindergarten,,"PO Box 28, Port Broughton SA 5522","Cnr South Tce & Kadina Rd, Port Broughton SA 5522",(08) 8635 2390,(08) 8635 2092,Ms Simone Shevchenko,dl.6653.leaders@schools.sa.edu.au,02,,Preschools
3697,Port Elliot Kindergarten,,,"5 Wright Street, Port Elliot SA 5212",(08) 8554 2962,(08) 8554 2463,Mrs Mandy Stokes,dl.3697.leaders@schools.sa.edu.au,13,,Preschools
4164,Port Lincoln Children's Centre,,"PO Box 787, Port Lincoln SA 5606","80 St Andrews Terrace, Port Lincoln SA 5606",(08) 8683 3073,(08) 8683 4266,Ms Joanne Smith,dl.4164.leaders@schools.sa.edu.au,18,,Preschools
6659,Port Pirie Community Kindergarten,,,"5 Halliday Street, Port Pirie SA 5540",(08) 8632 1291,(08) 8633 2549,Mrs Christine Baldock,dl.6659.leaders@schools.sa.edu.au,19,,Preschools
6629,Port Wakefield Kindergarten,,,"Thomas Crescent, Port Wakefield SA 5550",(08) 8867 1187,(08) 8867 1370,Ms Christine Manners,dl.6629.leaders@schools.sa.edu.au,11,,Preschools
5661,Prospect Kindergarten,,,"352 Regency Road, Prospect SA 5082",(08) 8344 5562,(08) 8344 6913,Ms Betty Elsworthy,dl.5661.leaders@schools.sa.edu.au,07,,Preschools
6660,Quorn Kindergarten,,,"3 Second Street, Quorn SA 5433",(08) 8648 6377,(08) 8648 6713,Mrs Nicole Downing,dl.6660.leaders@schools.sa.edu.au,20,,Preschools
1611,Raukkan Child Parent Centre,,,"Raukkan School, Taplin Street, Raukkan SA 5259",(08) 8574 0042,(08) 8574 0030,Ms Suzanne Sifa,dl.0845.Admin@schools.sa.edu.au,15,,Preschools
1631,Redwood Park Child Parent Centre,,"PO Box 909, St Agnes SA 5097","2-10 Lokan Street, Redwood Park SA 5097",(08) 8395 0210,(08) 8396 1713,Mrs Winsome Dowdy,dl.1090.Admin@schools.sa.edu.au,03,,Preschools
6561,Rendelsham Preschool,,,"Nilsson Street, Rendelsham SA 5280",(08) 8735 4237,(08) 8735 4335,Mrs Jennifer Smibert,dl.6561.leaders@schools.sa.edu.au,14,,Preschools
6541,Renmark Children's Centre,,,"204 Eighteenth Street, Renmark SA 5341",(08) 8586 6063,(08) 8586 6159,Ms Gale Hansen,dl.6541.leaders@schools.sa.edu.au,01,,Preschools
1786,Renmark North Preschool,,"c/- Renmark North Primary School, PMB 2, Renmark SA 5341","Warrego Street, Renmark North SA 5341",(08) 8595 3274,(08) 8595 3003,Mr Greg Platt,dl.0377.Admin@schools.sa.edu.au,01,,Preschools
6559,Renmark West Preschool,,"c/- Renmark West Primary School, Private Bag 4, Renmark SA 5341","Tarcoola Street, Renmark SA 5341",(08) 8595 1036,(08) 8595 1849,Ms Sally Wilkinson,dl.6559.leaders@schools.sa.edu.au,01,,Preschools
1450,Renown Park Preschool,,,"132 West Street, Brompton SA 5007",(08) 8346 4306,(08) 8346 9771,Ms Anne Michael,dl.1450.leaders@schools.sa.edu.au,09,,Preschools
1655,Reynella East Preschool,,,"Reynella East College, 63 Malbeck Drive, Reynella East SA 5161",(08) 8381 5255,(08) 8381 5084,Ms Caroline Green,dl.1907.Admin@schools.sa.edu.au,17,,Preschools
3674,Reynella South Kindergarten,,,"28 Thames Drive, Reynella SA 5161",(08) 8381 2086,(08) 8322 8753,Ms Catherine Holdcroft,dl.3674.leaders@schools.sa.edu.au,17,,Preschools
1615,Reynella South Preschool,,,"Reynella South PS, 119-135 Sherriffs Road, Reynella SA 5161",(08) 8381 1407,(08) 8381 4932,Ms Barb Hall,dl.1044.Admin@schools.sa.edu.au,17,,Preschools
1617,Ridgehaven Child Parent Centre,,,"479 Milne Road, Ridgehaven SA 5097",(08) 8265 3140,(08) 8396 1715,Ms Jean Perks,dl.1051.Admin@schools.sa.edu.au,03,,Preschools
6662,Risdon Park South Kindergarten,,,"10 Hannan Street, Port Pirie SA 5540",(08) 8632 2576,(08) 8633 2559,Andrea Tyler,dl.6662.leaders@schools.sa.edu.au,19,,Preschools
6669,Riverton Kindergarten,,,"5 Gilbert Street, Riverton SA 5412",(08) 8847 2109,(08) 8847 2065,Ms Rebecca Conrick-Smith,dl.6669.leaders@schools.sa.edu.au,11,,Preschools
2625,Riverview Preschool Centre,,,"44-48 Riverview Drive, Salisbury Downs SA 5108",(08) 8281 7330,(08) 8285 5154,Ms Dawn Rayner,dl.2625.leaders@schools.sa.edu.au,03,,Preschools
6543,Robe Soldiers Memorial Kindergarten,,"Box 436, Robe SA 5276","Victoria Street, Robe SA 5276",(08) 8768 2306,(08) 8768 2892,Ms Sally Smith,dl.6543.leaders@schools.sa.edu.au,14,,Preschools
2907,Robertstown Preschool,,"PO Box 19, Robertstown SA 5381","Corey Street, Robertstown SA 5381",(08) 8581 7162,(08) 8581 7253,Ms Jodie Pearce,dl.2907.leaders@schools.sa.edu.au,11,,Preschools
4649,Rose Park Preschool,,,"70A Hewitt Avenue, Rose Park SA 5067",(08) 8431 1583,(08) 8364 6891,Ms Dianne Weber,dl.4649.leaders@schools.sa.edu.au,08,,Preschools
4650,Rostrevor Kindergarten,,,"61 Maple Avenue, Rostrevor SA 5073",(08) 8337 3524,(08) 8365 5746,Ms Elle Riessen,dl.4650.leaders@schools.sa.edu.au,07,,Preschools
6646,Roxby Downs Kindergarten,,"PO Box 162, Roxby Downs SA 5725","Richardson Place, Roxby Downs SA 5725",(08) 8671 0455,(08) 8671 1021,Mr Adam Christie,dl.6646.leaders@schools.sa.edu.au,20,,Preschools
6672,Saddleworth Early Learning Centre,,"PO Box 29, Saddleworth SA 5413","7 Saddle Road, Saddleworth SA 5413",(08) 8847 4245,(08) 8847 4387,Ms Barbara Germein,dl.6672.leaders@schools.sa.edu.au,11,,Preschools
2639,Salisbury Downs Preschool Centre,,,"12 Donegal Street, Salisbury Downs SA 5108",(08) 8258 4532,(08) 8285 5156,Ms Elizabeth Burton,dl.2639.leaders@schools.sa.edu.au,05,,Preschools
2670,Salisbury Heights Preschool,,,"5-9 Stanford Road, Salisbury Heights SA 5109",(08) 8281 7293,(08) 8285 5159,Mrs Phil Jenkins,dl.2670.leaders@schools.sa.edu.au,04,,Preschools
2667,Salisbury Kindergarten,,,"12 Ann Street, Salisbury SA 5108",(08) 8258 2114,(08) 8285 9019,Mrs Rebecca Marshman,dl.2667.leaders@schools.sa.edu.au,05,,Preschools
2668,Salisbury Park  Kindergarten,,,"5 Wildwood Drive, Salisbury Park SA 5109",(08) 8250 0056,(08) 8285 5168,Ms Julie Stevenson,dl.2668.leaders@schools.sa.edu.au,04,,Preschools
5670,Seacliff Community Kindergarten,,,"47 Kauri Parade, Seacliff SA 5049",(08) 8296 3186,(08) 8377 1408,Ms Sharon Jaensch,dl.5670.leaders@schools.sa.edu.au,10,,Preschools
3683,Seaford K-7 A Birth to Year 7 Campus Preschool,,,"39 Jane Street, Port Noarlunga South SA 5167",(08) 8327 2280,(08) 8386 3745,Ms Dianne Lemke,dl.3683.leaders@schools.sa.edu.au,17,,Preschools
3618,Seaford Rise Children's Centre,,,"178 Grand Boulevard, Seaford Rise SA 5169",(08) 8386 0505,(08) 8327 2853,Ms Kim Noble,dl.3618.leaders@schools.sa.edu.au,17,,Preschools
3684,Seaview Downs Kindergarten,,,"5A Hume Street, Seaview Downs SA 5049",(08) 8296 3322,(08) 8377 1597,Ms Trudy Lawson,dl.3684.leaders@schools.sa.edu.au,17,,Preschools
2693,Settlers Farm Campus Kindergarten,,"PO Box 605, Salisbury South SA 5106","2 Du Villars Street, Paralowie SA 5108",(08) 8280 6188,(08) 8280 6283,Ms Paula Mulholland,dl.2693.leaders@schools.sa.edu.au,03,,Preschools
2672,Sir Thomas Playford Kindergarten,,,"136 Goodman Road, Elizabeth South SA 5112",(08) 8255 1136,(08) 8287 6723,Ms Kate Walker,dl.2672.leaders@schools.sa.edu.au,03,,Preschools
2673,Smithfield Plains Kindergarten,,,"1 Bald Street, Smithfield Plains SA 5114",(08) 8284 0817,(08) 8284 0853,Ms Margie Doyle,dl.2673.leaders@schools.sa.edu.au,04,,Preschools
6684,Snowtown Kindergarten,,,"19 Glen Davidson Drive, Snowtown SA 5520",(08) 8865 2195,(08) 8865 2459,Ms Vicki Reichelt,dl.6684.leaders@schools.sa.edu.au,02,,Preschools
6666,Solomontown Kindergarten,,,"1 Prince Street, Port Pirie SA 5540",(08) 8632 3800,(08) 8633 2576,Ms Cammie Noonan,dl.6666.leaders@schools.sa.edu.au,19,,Preschools
5669,Somerton Park Kindergarten,,,"3 Grantham Road, Somerton Park SA 5044",(08) 8296 1503,(08) 8377 1672,Mrs Marie Cullen,dl.5669.leaders@schools.sa.edu.au,10,,Preschools
1620,St Agnes Preschool,,,"St Agnes PS, 250 Smart Road, St Agnes SA 5097",(08) 8263 8725,(08) 8396 1716,Mr David Cowles,dl.1091.Admin@schools.sa.edu.au,03,,Preschools
5662,St Helen's Park Kindergarten,,,"Koonga Avenue, Prospect SA 5082",(08) 8344 1735,(08) 8344 5961,Ms Annette Browne,dl.5662.leaders@schools.sa.edu.au,07,,Preschools
4687,St James' Park Kindergarten,,,"19 Strathcona Avenue, Panorama SA 5041",(08) 8276 5703,(08) 8277 8680,Ms Jayne Dance,dl.4687.leaders@schools.sa.edu.au,13,,Preschools
5663,St Philip's Preschool Kindergarten,,,"14 Iona Street, Broadview SA 5083",(08) 8344 3866,(08) 8344 3285,Ms Alison McKenna,dl.5663.leaders@schools.sa.edu.au,07,,Preschools
